# owner	field	kind	target
CAbilEffectTarget	ExtraVitalCost	struct	SAccumulatedFixed
CAbilEffectTarget	InterruptCost	struct	SCost
CAbilEffectTarget	Marker	struct	SMarker
CAbilEffectTarget	OrderArray	struct	SAbilOrderDisplay
CAbilEffectTarget	Placeholder	link	CUnitLink
CAbilEffectTarget	PlaceUnit	link	CUnitLink
CAbilEffectTarget	PostEffectBehavior	struct	SEffectBehavior
CAbilEffectTarget	PreEffectBehavior	struct	SEffectBehavior
CAbilEffectTarget	PrepEffect	link	CEffectLink
CAbilEffectTarget	ProducedUnitArray	link	CUnitLink
CAbilEffectTarget	ProgressButtonArray	link	CButtonLink
CAbilEffectTarget	RefundFraction	struct	SCostFactor
CAbilEffectTarget	SmartValidatorArray	link	CValidatorLink
CAbilEffectTarget	StateBehavior	link	CBehaviorLink
CAbilEffectTarget	TargetCursorInfo	struct	SAbilTargetCursorInfo
CAbilEffectTarget	TargetSorts	struct	STargetSorts
CAbilHarvest	CmdButtonArray	struct	SAbilCmdButton
CAbilHarvest	DataCollection	link	CDataCollectionLink
CAbilHarvest	Effect	link	CEffectLink
CAbilHarvest	OrderArray	struct	SAbilOrderDisplay
CAbilHarvest	ReservedMarker	struct	SMarker
CAbilHarvest	StateBehavior	link	CBehaviorLink
CAbilInteract	AutoCastValidatorArray	link	CValidatorLink
CAbilInteract	CmdButtonArray	struct	SAbilCmdButton
CAbilInteract	DataCollection	link	CDataCollectionLink
CAbilInteract	OrderArray	struct	SAbilOrderDisplay
CAbilInteract	SmartValidatorArray	link	CValidatorLink
CAbilInteract	StateBehavior	link	CBehaviorLink
CAbilInteract	ValidatorArray	link	CValidatorLink
CAbilInventory	CmdButtonArray	struct	SAbilCmdButton
CAbilInventory	DataCollection	link	CDataCollectionLink
CAbilInventory	InfoArray	struct	SAbilInventoryInfo
CAbilInventory	OrderArray	struct	SAbilOrderDisplay
CAbilInventory	StateBehavior	link	CBehaviorLink
CAbilInventory	ValidatorArray	link	CValidatorLink
CAbilLearn	DataCollection	link	CDataCollectionLink
CAbilLearn	ErrorAlert	link	CAlertLink
CAbilLearn	InfoArray	struct	SAbilLearnInfo
CAbilLearn	OrderArray	struct	SAbilOrderDisplay
CAbilLearn	RefundFraction	struct	SCostFactor
CAbilLearn	StateBehavior	link	CBehaviorLink
CAbilLearn	VeterancyBehavior	link	CBehaviorLink
CAbilMerge	Alert	link	CAlertLink
CAbilMerge	CmdButtonArray	struct	SAbilCmdButton
CAbilMerge	DataCollection	link	CDataCollectionLink
CAbilMerge	Effect	link	CEffectLink
CAbilMerge	Info	struct	SAbilMergeInfo
CAbilMerge	OrderArray	struct	SAbilOrderDisplay
CAbilMerge	StateBehavior	link	CBehaviorLink
CAbilMergeable	CmdButtonArray	struct	SAbilCmdButton
CAbilMergeable	DataCollection	link	CDataCollectionLink
CAbilMergeable	OrderArray	struct	SAbilOrderDisplay
CAbilMergeable	StateBehavior	link	CBehaviorLink
CAbilMorph	AbilLinkDisableArray	link	CAbilLink
CAbilMorph	AbilLinkEnableArray	link	CAbilLink
CAbilMorph	Alert	link	CAlertLink
CAbilMorph	AutoCastValidatorArray	link	CValidatorLink
CAbilMorph	BehaviorOff	link	CBehaviorLink
CAbilMorph	BehaviorOn	link	CBehaviorLink
CAbilMorph	CancelUnit	link	CUnitLink
CAbilMorph	CmdButtonArray	struct	SAbilCmdButton
CAbilMorph	Cost	struct	SCost
CAbilMorph	CostUnmorph	struct	SCost
CAbilMorph	DataCollection	link	CDataCollectionLink
CAbilMorph	ErrorAlert	link	CAlertLink
CAbilMorph	FinishGlobalAlert	link	CAlertLink
CAbilMorph	InfoArray	struct	SAbilMorphInfo
CAbilMorph	InfoArrayUnmorph	struct	SAbilMorphInfo
CAbilMorph	OrderArray	struct	SAbilOrderDisplay
CAbilMorph	ProgressButton	link	CButtonLink
CAbilMorph	RefundFraction	struct	SCostFactor
CAbilMorph	StartGlobalAlert	link	CAlertLink
CAbilMorph	StateBehavior	link	CBehaviorLink
CAbilMorph	TargetSorts	struct	STargetSorts
CAbilMorph	ValidatorArray	link	CValidatorLink
CAbilMorph	ValidatorArrayUnmorph	link	CValidatorLink
CAbilMorphPlacement	AbilLinkDisableArray	link	CAbilLink
CAbilMorphPlacement	AbilLinkEnableArray	link	CAbilLink
CAbilMorphPlacement	Alert	link	CAlertLink
CAbilMorphPlacement	AutoCastValidatorArray	link	CValidatorLink
CAbilMorphPlacement	BehaviorOff	link	CBehaviorLink
CAbilMorphPlacement	BehaviorOn	link	CBehaviorLink
CAbilMorphPlacement	CancelUnit	link	CUnitLink
CAbilMorphPlacement	CmdButtonArray	struct	SAbilCmdButton
CAbilMorphPlacement	Cost	struct	SCost
CAbilMorphPlacement	CostUnmorph	struct	SCost
CAbilMorphPlacement	DataCollection	link	CDataCollectionLink
CAbilMorphPlacement	ErrorAlert	link	CAlertLink
CAbilMorphPlacement	FinishGlobalAlert	link	CAlertLink
CAbilMorphPlacement	InfoArray	struct	SAbilMorphInfo
CAbilMorphPlacement	InfoArrayUnmorph	struct	SAbilMorphInfo
CAbilMorphPlacement	OrderArray	struct	SAbilOrderDisplay
CAbilMorphPlacement	ProgressButton	link	CButtonLink
CAbilMorphPlacement	RefundFraction	struct	SCostFactor
CAbilMorphPlacement	StartGlobalAlert	link	CAlertLink
CAbilMorphPlacement	StateBehavior	link	CBehaviorLink
CAbilMorphPlacement	TargetSorts	struct	STargetSorts
CAbilMorphPlacement	ValidatorArray	link	CValidatorLink
CAbilMorphPlacement	ValidatorArrayUnmorph	link	CValidatorLink
CAbilMove	CmdButtonArray	struct	SAbilCmdButton
CAbilMove	DataCollection	link	CDataCollectionLink
CAbilMove	OrderArray	struct	SAbilOrderDisplay
CAbilMove	StateBehavior	link	CBehaviorLink
CAbilPawn	DataCollection	link	CDataCollectionLink
CAbilPawn	InfoArray	struct	SAbilPawnInfo
CAbilPawn	OrderArray	struct	SAbilOrderDisplay
CAbilPawn	StateBehavior	link	CBehaviorLink
CAbilProgress	DataCollection	link	CDataCollectionLink
CAbilProgress	OrderArray	struct	SAbilOrderDisplay
CAbilProgress	StateBehavior	link	CBehaviorLink
CAbilQueue	CmdButtonArray	struct	SAbilCmdButton
CAbilQueue	DataCollection	link	CDataCollectionLink
CAbilQueue	OrderArray	struct	SAbilOrderDisplay
CAbilQueue	StateBehavior	link	CBehaviorLink
CAbilQueueable	DataCollection	link	CDataCollectionLink
CAbilQueueable	ErrorAlert	link	CAlertLink
CAbilQueueable	OrderArray	struct	SAbilOrderDisplay
CAbilQueueable	RefundFraction	struct	SCostFactor
CAbilQueueable	StateBehavior	link	CBehaviorLink
CAbilRally	CmdButtonArray	struct	SAbilCmdButton
CAbilRally	DataCollection	link	CDataCollectionLink
CAbilRally	InfoArray	struct	SAbilRallyInfo
CAbilRally	OrderArray	struct	SAbilOrderDisplay
CAbilRally	StateBehavior	link	CBehaviorLink
CAbilRedirect	Abil	link	CAbilLink
CAbilRedirect	DataCollection	link	CDataCollectionLink
CAbilRedirect	OrderArray	struct	SAbilOrderDisplay
CAbilRedirect	StateBehavior	link	CBehaviorLink
CAbilRedirectInstant	Abil	link	CAbilLink
CAbilRedirectInstant	CmdButtonArray	struct	SAbilCmdButton
CAbilRedirectInstant	DataCollection	link	CDataCollectionLink
CAbilRedirectInstant	OrderArray	struct	SAbilOrderDisplay
CAbilRedirectInstant	StateBehavior	link	CBehaviorLink
CAbilRedirectTarget	Abil	link	CAbilLink
CAbilRedirectTarget	CmdButtonArray	struct	SAbilCmdButton
CAbilRedirectTarget	DataCollection	link	CDataCollectionLink
CAbilRedirectTarget	OrderArray	struct	SAbilOrderDisplay
CAbilRedirectTarget	StateBehavior	link	CBehaviorLink
CAbilResearch	DataCollection	link	CDataCollectionLink
CAbilResearch	ErrorAlert	link	CAlertLink
CAbilResearch	InfoArray	struct	SAbilResearchInfo
CAbilResearch	OrderArray	struct	SAbilOrderDisplay
CAbilResearch	RefundFraction	struct	SCostFactor
CAbilResearch	StateBehavior	link	CBehaviorLink
CAbilRevive	Alert	link	CAlertLink
CAbilRevive	BaseInfo	struct	SAbilReviveInfo
CAbilRevive	BaseUnitCostFactor	struct	SCostFactor
CAbilRevive	CmdButtonArray	struct	SAbilReviveCmdButton
CAbilRevive	DataCollection	link	CDataCollectionLink
CAbilRevive	Effect	link	CEffectLink
CAbilRevive	ErrorAlert	link	CAlertLink
CAbilRevive	LevelInfo	struct	SAbilReviveInfo
CAbilRevive	LevelUnitCostFactor	struct	SCostFactor
CAbilRevive	MaxInfo	struct	SAbilReviveInfoMax
CAbilRevive	OrderArray	struct	SAbilOrderDisplay
CAbilRevive	RefundFraction	struct	SCostFactor
CAbilRevive	StateBehavior	link	CBehaviorLink
CAbilRevive	ValidatorArray	link	CValidatorLink
CAbilRevive	VeterancyBehavior	link	CBehaviorLink
CAbilSpecialize	Alert	link	CAlertLink
CAbilSpecialize	DataCollection	link	CDataCollectionLink
CAbilSpecialize	ErrorAlert	link	CAlertLink
CAbilSpecialize	InfoArray	struct	SAbilSpecializeInfo
CAbilSpecialize	OrderArray	struct	SAbilOrderDisplay
CAbilSpecialize	RefundFraction	struct	SCostFactor
CAbilSpecialize	StateBehavior	link	CBehaviorLink
CAbilStop	CmdButtonArray	struct	SAbilCmdButton
CAbilStop	DataCollection	link	CDataCollectionLink
CAbilStop	OrderArray	struct	SAbilOrderDisplay
CAbilStop	StateBehavior	link	CBehaviorLink
CAbilTrain	AgentUnitValidator	link	CValidatorLink
CAbilTrain	Alert	link	CAlertLink
CAbilTrain	DataCollection	link	CDataCollectionLink
CAbilTrain	ErrorAlert	link	CAlertLink
CAbilTrain	InfoArray	struct	SAbilTrainInfo
CAbilTrain	MorphUnit	link	CUnitLink
CAbilTrain	OrderArray	struct	SAbilOrderDisplay
CAbilTrain	ProxyUnit	link	CUnitLink
CAbilTrain	RefundFraction	struct	SCostFactor
CAbilTrain	StateBehavior	link	CBehaviorLink
CAbilTransport	CalldownEffect	link	CEffectLink
CAbilTransport	CmdButtonArray	struct	SAbilCmdButton
CAbilTransport	DataCollection	link	CDataCollectionLink
CAbilTransport	DeathUnloadEffect	link	CEffectLink
CAbilTransport	ErrorAlert	link	CAlertLink
CAbilTransport	LoadCargoBehavior	link	CBehaviorLink
CAbilTransport	LoadCargoEffect	link	CEffectLink
CAbilTransport	LoadTransportBehavior	link	CBehaviorLink
CAbilTransport	LoadTransportEffect	link	CEffectLink
CAbilTransport	LoadValidatorArray	link	CValidatorLink
CAbilTransport	OrderArray	struct	SAbilOrderDisplay
CAbilTransport	StateBehavior	link	CBehaviorLink
CAbilTransport	TargetSorts	struct	STargetSorts
CAbilTransport	UnloadCargoBehavior	link	CBehaviorLink
CAbilTransport	UnloadCargoEffect	link	CEffectLink
CAbilTransport	UnloadTransportBehavior	link	CBehaviorLink
CAbilTransport	UnloadTransportEffect	link	CEffectLink
CAbilTransport	UnloadValidatorArray	link	CValidatorLink
CAbilWarpable	CmdButtonArray	struct	SAbilCmdButton
CAbilWarpable	DataCollection	link	CDataCollectionLink
CAbilWarpable	OrderArray	struct	SAbilOrderDisplay
CAbilWarpable	PowerUserBehavior	link	CBehaviorLink
CAbilWarpable	StateBehavior	link	CBehaviorLink
CAbilWarpTrain	Alert	link	CAlertLink
CAbilWarpTrain	DataCollection	link	CDataCollectionLink
CAbilWarpTrain	InfoArray	struct	SAbilWarpTrainInfo
CAbilWarpTrain	OrderArray	struct	SAbilOrderDisplay
CAbilWarpTrain	RefundFraction	struct	SCostFactor
CAbilWarpTrain	StateBehavior	link	CBehaviorLink
CAccumulator	SourceEffect	link	CEffectLink
CAccumulatorAbilLevel	SourceEffect	link	CEffectLink
CAccumulatorArithmetic	Parameters	struct	SAccumulatedFixed
CAccumulatorArithmetic	SourceEffect	link	CEffectLink
CAccumulatorAttributePoints	Attribute	link	CBehaviorLink
CAccumulatorAttributePoints	SourceEffect	link	CEffectLink
CAccumulatorAttributePoints	UnitSource	struct	SEffectWhichUnit
CAccumulatorBehavior	Behavior	link	CBehaviorLink
CAccumulatorBehavior	SourceEffect	link	CEffectLink
CAccumulatorBehavior	UnitSource	struct	SEffectWhichUnit
CAccumulatorCargo	SourceEffect	link	CEffectLink
CAccumulatorCargo	UnitSource	struct	SEffectWhichUnit
CAccumulatorConstant	SourceEffect	link	CEffectLink
CAccumulatorDistance	EndLocation	struct	SEffectWhichLocation
CAccumulatorDistance	SourceEffect	link	CEffectLink
CAccumulatorDistance	StartLocation	struct	SEffectWhichLocation
CAccumulatorEffectAmount	SourceEffect	link	CEffectLink
CAccumulatorLevel	SourceEffect	link	CEffectLink
CAccumulatorPlayerScoreValue	Player	struct	SEffectWhichPlayer
CAccumulatorPlayerScoreValue	SourceEffect	link	CEffectLink
CAccumulatorPlayerScoreValue	Value	link	CScoreValueLink
CAccumulatorSwitch	CaseArray	struct	SAccumulatorSwitchCase
CAccumulatorSwitch	CaseDefault	link	CAccumulatorLink
CAccumulatorSwitch	SourceEffect	link	CEffectLink
CAccumulatorTrackedUnitCount	SourceEffect	link	CEffectLink
CAccumulatorTrackedUnitCount	TrackedUnitValidatorArray	link	CValidatorLink
CAccumulatorTrackedUnitCount	TrackerUnit	struct	SEffectWhichUnit
CAccumulatorTrackedUnitCount	TrackingBehavior	link	CBehaviorLink
CAccumulatorUnitCustomValue	SourceEffect	link	CEffectLink
CAccumulatorUnitCustomValue	UnitSource	struct	SEffectWhichUnit
CAccumulatorUnitLevel	SourceEffect	link	CEffectLink
CAccumulatorUnitLevel	UnitSource	struct	SEffectWhichUnit
CAccumulatorUserData	BehaviorScope	struct	SEffectWhichBehavior
CAccumulatorUserData	SourceEffect	link	CEffectLink
CAccumulatorVeterancyLevel	SourceEffect	link	CEffectLink
CAccumulatorVeterancyLevel	UnitSource	struct	SEffectWhichUnit
CAccumulatorVitals	SourceEffect	link	CEffectLink
CAccumulatorVitals	UnitSource	struct	SEffectWhichUnit
CAchievement	Icon	link	CRewardLink
CAchievement	Race	link	CRaceLink
CAchievement	RewardTable	link	CRewardLink
CAchievement	SharesTerms	link	CAchievementLink
CAchievement	Supersedes	link	CAchievementLink
CAchievement	Tags	struct	SAchievementTag
CAchievement	TermTable	link	CAchievementTermLink
CAchievementTermAbil	ValidatorArray	link	CValidatorLink
CAchievementTermAbilInteract	ValidatorArray	link	CValidatorLink
CAchievementTermAbilLoad	ValidatorArray	link	CValidatorLink
CAchievementTermAbilUse	ValidatorArray	link	CValidatorLink
CAchievementTermAchievement	Child	link	CAchievementLink
CAchievementTermBehavior	Behavior	link	CBehaviorLink
CAchievementTermBehaviorAbsorbed	Behavior	link	CBehaviorLink
CAchievementTermBehaviorCount	Behavior	link	CBehaviorLink
CAchievementTermBehaviorElapsed	Behavior	link	CBehaviorLink
CAchievementTermBehaviorState	Behavior	link	CBehaviorLink
CAchievementTermBehaviorState	ValidatorArray	link	CValidatorLink
CAchievementTermCombine	ChildTable	link	CAchievementTermLink
CAchievementTermEffect	Effect	link	CEffectLink
CAchievementTermEffect	ValidatorArray	link	CValidatorLink
CAchievementTermEffect	WhichPlayer	struct	SEffectWhichPlayer
CAchievementTermEffectAbsorbed	Effect	link	CEffectLink
CAchievementTermEffectAbsorbed	ValidatorArray	link	CValidatorLink
CAchievementTermEffectAbsorbed	WhichPlayer	struct	SEffectWhichPlayer
CAchievementTermEffectDamaged	Effect	link	CEffectLink
CAchievementTermEffectDamaged	ValidatorArray	link	CValidatorLink
CAchievementTermEffectDamaged	WhichPlayer	struct	SEffectWhichPlayer
CAchievementTermEffectDodged	Effect	link	CEffectLink
CAchievementTermEffectDodged	ValidatorArray	link	CValidatorLink
CAchievementTermEffectDodged	WhichPlayer	struct	SEffectWhichPlayer
CAchievementTermEffectHealed	Effect	link	CEffectLink
CAchievementTermEffectHealed	ValidatorArray	link	CValidatorLink
CAchievementTermEffectHealed	WhichPlayer	struct	SEffectWhichPlayer
CAchievementTermEffectKilled	Effect	link	CEffectLink
CAchievementTermEffectKilled	ValidatorArray	link	CValidatorLink
CAchievementTermEffectKilled	WhichPlayer	struct	SEffectWhichPlayer
CAchievementTermEffectUse	Effect	link	CEffectLink
CAchievementTermEffectUse	ValidatorArray	link	CValidatorLink
CAchievementTermEffectUse	WhichPlayer	struct	SEffectWhichPlayer
CAchievementTermScoreValue	ScoreValue	link	CScoreValueLink
CAchievementTermUnit	Unit	link	CUnitLink
CAchievementTermUnit	ValidatorArray	link	CValidatorLink
CAchievementTermUnitBirth	Unit	link	CUnitLink
CAchievementTermUnitBirth	ValidatorArray	link	CValidatorLink
CAchievementTermUnitDeath	Unit	link	CUnitLink
CAchievementTermUnitDeath	ValidatorArray	link	CValidatorLink
CAchievementTermUnitKills	Unit	link	CUnitLink
CAchievementTermUnitKills	ValidatorArray	link	CValidatorLink
CAchievementTermUnitRegen	Unit	link	CUnitLink
CAchievementTermUnitRegen	ValidatorArray	link	CValidatorLink
CAchievementTermUnitSupplyLoss	Unit	link	CUnitLink
CAchievementTermUnitSupplyLoss	ValidatorArray	link	CValidatorLink
CActor	Preload	link	CPreloadLink
CActor	Supporter	struct	SActorRequest
CActor	VisibilityShape	struct	SActorVisibilityShape
CActorAction	ContainerAssets	struct	SActorAVPair
CActorAction	ContainerAttachQuery	struct	SAttachQuery
CActorAction	ContainerSiteOps	struct	SActorSiteOpsData
CActorAction	ContainerTerrainSquibMap	struct	SActorActionTerrainSquib
CActorAction	DamageAttachQuery	struct	SAttachQuery
CActorAction	DamageMap	struct	SActorAVCluster
CActorAction	DamagePhysics	struct	SActorPhysicsData
CActorAction	DamageReattachQuery	struct	SAttachQuery
CActorAction	DamageSiteOps	struct	SActorSiteOpsData
CActorAction	DamageSiteOpsReaction	struct	SActorSiteOpsData
CActorAction	DamageTerrainSquibMap	struct	SActorActionTerrainSquib
CActorAction	ForceCommencementFrom	link	CEffectLink
CActorAction	HostImpactSource	struct	SActorRequest
CActorAction	ImpactAttachQuery	struct	SAttachQuery
CActorAction	ImpactMap	struct	SActorAVCluster
CActorAction	ImpactPhysics	struct	SActorPhysicsData
CActorAction	ImpactPointSiteOps	struct	SActorSiteOpsData
CActorAction	ImpactReattachQuery	struct	SAttachQuery
CActorAction	ImpactSiteOps	struct	SActorSiteOpsData
CActorAction	ImpactSiteOpsReaction	struct	SActorSiteOpsData
CActorAction	ImpactTerrainSquibMap	struct	SActorActionTerrainSquib
CActorAction	LaunchAssets	struct	SActorAVPair
CActorAction	LaunchAttachQuery	struct	SAttachQuery
CActorAction	LaunchRequest	struct	SActorRequest
CActorAction	LaunchSiteOps	struct	SActorSiteOpsData
CActorAction	LaunchTerrainSquibMap	struct	SActorActionTerrainSquib
CActorAction	On	struct	SActorEvent
CActorAction	Preload	link	CPreloadLink
CActorAction	Remove	struct	SActorEvent
CActorAction	Supporter	struct	SActorRequest
CActorAction	VisibilityShape	struct	SActorVisibilityShape
CActorActionOverride	DamageModel	link	CModelLink
CActorActionOverride	ImpactModel	link	CModelLink
CActorActionOverride	MissileModel	link	CModelLink
CActorActionOverride	On	struct	SActorEvent
CActorActionOverride	Preload	link	CPreloadLink
CActorActionOverride	Remove	struct	SActorEvent
CActorActionOverride	Supporter	struct	SActorRequest
CActorActionOverride	VisibilityShape	struct	SActorVisibilityShape
CActorArc	EventDataFootprint	struct	SEventDataFootprint
CActorArc	EventDataSound	struct	SEventDataSound
CActorArc	Host	struct	SActorRequest
CActorArc	HostedAttaches	struct	SActorHostedAttach
CActorArc	HostFor2ndVisibilityTest	struct	SActorRequest
CActorArc	HostForProps	struct	SActorRequest
CActorArc	HostSiteOps	struct	SActorSiteOpsData
CActorArc	HostSiteOpsFor2ndVisibilityTest	struct	SActorSiteOpsData
CActorArc	Model	link	CModelLink
CActorArc	ModelAspectSets	struct	SActorModelAspectSet
CActorArc	On	struct	SActorEvent
CActorArc	PhysicsImpactDefault	struct	SActorPhysicsImpactData
CActorArc	PhysicsImpacts	struct	SActorPhysicsImpactData
CActorArc	Preload	link	CPreloadLink
CActorArc	Remove	struct	SActorEvent
CActorArc	Supporter	struct	SActorRequest
CActorArc	VisibilityShape	struct	SActorVisibilityShape
